Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1
"BABYFOOD,JUC TREATS,FRUIT MEDLEY,TODD",12.89,347,0,0.02,0.29,86.68,0,57.4,12,0.24,7,9,54,89,0.03,0.037,0.062,1.9,8,0.015,0.01,0.057,0.052,0.014,1,0,1,1,9.1,0,2,0,0,0,1,0,0,2,0.01,0,0,0,0,0,0,0,28
"BABYFOOD,MEAT,BF,STR",82.44,81,12.03,2.52,0.57,2.43,0,0,5,0.98,11,93,187,41,2.22,0.148,0.037,2.9,2.1,0.013,0.135,2.495,0.083,0.039,8,0,8,8,37.6,1.26,0,0,0,0,0,0,0,0,0.37,0.4,15,0.6,1.18,0.95,0.16,51,14.7
"BABYFOOD,MEAT,BF,JR",82.44,81,12.03,2.52,0.57,2.43,0,0,5,0.98,11,93,187,41,2.22,0.148,0.037,2.9,2.1,0.013,0.135,2.495,0.083,0.039,8,0,8,8,37.6,1.26,0,0,0,0,0,0,0,0,0.37,0.4,15,0.6,1.18,0.95,0.16,51,28.35
"BABYFOOD,MEAT,VEAL,STR",82.37,81,13.12,2.45,0.54,1.51,0,0,6,0.76,11,98,170,39,2.5,0.148,0.037,3.5,0,0.023,0.116,2.85,0.155,0.049,5,0,5,5,49.5,1.65,0,0,0,0,0,0,0,0,0.28,0.7,26,0,1.063,1.054,0.157,33,16
"BABYFOOD,MEAT,PORK,STR",78.4,124,14,7.1,1.1,0,0,0,5,1,10,94,223,42,2.27,0.072,,12.9,1.8,0.146,0.203,2.269,0.272,0.205,2,0,2,2,,0.99,38,11,11,0,0,0,0,0,0.4,,,,2.4,3.58,0.78,48,28.35
"BABYFOOD,MEAT,HAM,STR",80.5,97,11.3,3.8,0.7,3.7,0,0,6,1.03,13,81,204,44,2.25,0.065,,14.2,2.1,0.139,0.154,2.633,0.51,0.252,2,0,2,2,45.2,0.1,5,2,2,0,0,0,0,0,0.13,0.4,18,0,1.267,1.803,0.51,24,15
"BABYFOOD,MEAT,HAM,JUNIOR",80.5,97,11.3,3.8,0.7,3.7,0,0,5,1.01,11,89,210,44,1.7,0.068,,15,2.1,0.142,0.194,2.84,0.531,0.2,2,0,2,2,45.2,0.1,0,0,0,0,0,0,0,0,0.4,0.4,18,0,1.271,1.804,0.516,29,28.35
"BABYFOOD,MEAT,LAMB,STR",81.06,87,14.07,3.41,0.6,0.85,0,0,7,1.19,13,104,193,43,2.43,0.148,0.037,2.2,1.2,0.02,0.174,2.908,0.112,0.037,0,0,0,0,54.7,1.9,0,0,0,0,0,0,0,0,0.19,0.1,4,0.6,1.65,1.27,0.31,36,22
"BABYFOOD,MEAT,LAMB,JUNIOR",79.6,112,15.2,5.2,0.9,0,0,0,7,1.66,10,91,211,42,2.6,0.057,,7,1.7,0.019,0.191,3.193,0.424,0.183,2,0,2,2,54.7,2.27,27,8,8,,0,,,,0.4,0.1,4,,2.56,2.06,0.22,38,28.35
"BABYFOOD,MEAT,CHICK,STR",77.5,130,13.7,7.9,0.49,0.1,0,0,64,1.4,13,97,141,49,1.21,0.045,,11,1.7,0.014,0.152,3.255,0.68,0.2,3,0,3,3,43.2,0.4,21,6,6,0,0,0,0,0,0.25,0.3,11,1,2.03,3.56,1.92,61,15
"BABYFOOD,MEAT,CHICK,JR",76,146,14,9.6,0.49,0,0,0,55,0.99,11,90,122,49,1.01,0.045,,10.3,1.5,0.014,0.163,3.42,0.726,0.188,11,0,11,11,43.2,0.4,40,11,11,0,0,0,0,0,0.4,0,2,1.7,2.47,4.33,2.33,59,15
